original_id_langue,original_nom_langue,original_code_iso_639_3,original_id_famille,decision,retained_id_langue,retained_id_famille,reason
LANG_BC_1,Yoruba,yor,FLG_BENOUECONGO,retained,LANG_BC_1,FLG_BENOUECONGO,Direct Glottolog 5.3 match retained.
LANG_BC_2,Igbo,ibo,FLG_BENOUECONGO,retained,LANG_BC_2,FLG_BENOUECONGO,Direct Glottolog 5.3 match retained.
LANG_BC_3,Edo,,FLG_BENOUECONGO,retained,LANG_BC_3,FLG_BENOUECONGO,Direct Glottolog 5.3 match retained.
LANG_BC_4,Tiv,,FLG_BENOUECONGO,retained,LANG_BC_4,FLG_BENOUECONGO,Direct Glottolog 5.3 match retained.
LANG_BC_5,Idoma,,FLG_BENOUECONGO,retained,LANG_BC_5,FLG_BENOUECONGO,Direct Glottolog 5.3 match retained.
LANG_BAN_1,Swahili,swa,FLG_BANTU,removed,,,ISO swa is not attached to a Glottolog 5.3 languoid; the source records individual Swahili as swh.
LANG_BAN_2,Lingala,lin,FLG_BANTU,retained,LANG_BAN_2,FLG_BANTU,Direct Glottolog 5.3 match retained.
LANG_BAN_3,Kinyarwanda,,FLG_BANTU,retained,LANG_BAN_3,FLG_BANTU,Direct Glottolog 5.3 match retained.
LANG_BAN_4,Kirundi,,FLG_BANTU,retained,LANG_BAN_4,FLG_BANTU,Direct Glottolog 5.3 match retained.
LANG_BAN_5,Shona,,FLG_BANTU,retained,LANG_BAN_5,FLG_BANTU,Direct Glottolog 5.3 match retained.
LANG_NS_1,Kanuri,kau,FLG_NILOSAHARIENNE,removed,,,Nilo-Saharan is not a Glottolog 5.3 family and ISO kau is not attached to one languoid.
LANG_NS_2,Songhay (Zarma),,FLG_NILOSAHARIENNE,removed,,,Nilo-Saharan is not a Glottolog 5.3 family and Songhay or Zarma does not identify one language.
LANG_NS_3,Dinka,din,FLG_NILOSAHARIENNE,removed,LANG_NIL_1,FLG_NILOTIQUE,Duplicate unsupported macro-family assignment; the retained Nilotic row is more specific.
LANG_NS_4,Nuer,nus,FLG_NILOSAHARIENNE,removed,LANG_NIL_2,FLG_NILOTIQUE,Duplicate unsupported macro-family assignment; the retained Nilotic row is more specific.
LANG_NS_5,Maasai,mas,FLG_NILOSAHARIENNE,removed,LANG_NIL_3,FLG_NILOTIQUE,Duplicate unsupported macro-family assignment; the retained Nilotic row is more specific.
LANG_NIL_1,Dinka,din,FLG_NILOTIQUE,retained,LANG_NIL_1,FLG_NILOTIQUE,Direct Glottolog 5.3 match retained.
LANG_NIL_2,Nuer,nus,FLG_NILOTIQUE,retained,LANG_NIL_2,FLG_NILOTIQUE,Direct Glottolog 5.3 match retained.
LANG_NIL_3,Maasai,mas,FLG_NILOTIQUE,retained,LANG_NIL_3,FLG_NILOTIQUE,Direct Glottolog 5.3 match retained.
LANG_NIL_4,Luo (dhoLuo),,FLG_NILOTIQUE,retained,LANG_NIL_4,FLG_NILOTIQUE,Direct Glottolog 5.3 match retained.
LANG_NIL_5,Turkana,,FLG_NILOTIQUE,retained,LANG_NIL_5,FLG_NILOTIQUE,Direct Glottolog 5.3 match retained.
LANG_SC_1,Bagirmi,,FLG_SOUDANIQUECENTRAL,retained,LANG_SC_1,FLG_SOUDANIQUECENTRAL,Direct Glottolog 5.3 match retained.
LANG_SC_2,Ngambay,,FLG_SOUDANIQUECENTRAL,retained,LANG_SC_2,FLG_SOUDANIQUECENTRAL,Direct Glottolog 5.3 match retained.
LANG_SC_3,Sara,,FLG_SOUDANIQUECENTRAL,removed,,,Sara is a broad label shared by multiple languages; no single ISO code is unambiguous.
LANG_SC_4,Maba,,FLG_SOUDANIQUECENTRAL,removed,,,Maba is a separate Glottolog 5.3 family rather than Central Sudanic and no exact AFRIK family exists.
LANG_SC_5,Bongo,,FLG_SOUDANIQUECENTRAL,retained,LANG_SC_5,FLG_SOUDANIQUECENTRAL,Direct Glottolog 5.3 match retained.
LANG_SAH_1,Kanuri,kau,FLG_SAHARIEN,removed,,,ISO kau is not attached to one Glottolog languoid and Kanuri resolves to multiple languages.
LANG_SAH_2,Teda,,FLG_SAHARIEN,retained,LANG_SAH_2,FLG_SAHARIEN,Direct Glottolog 5.3 match retained.
LANG_SAH_3,Daza,,FLG_SAHARIEN,retained,LANG_SAH_3,FLG_SAHARIEN,Direct Glottolog 5.3 match retained.
LANG_SAH_4,Zaghawa,,FLG_SAHARIEN,retained,LANG_SAH_4,FLG_SAHARIEN,Direct Glottolog 5.3 match retained.
LANG_SAH_5,Berti,,FLG_SAHARIEN,retained,LANG_SAH_5,FLG_SAHARIEN,Direct Glottolog 5.3 match retained.
LANG_SON_1,Zarma,dje,FLG_SONGHAY,retained,LANG_SON_1,FLG_SONGHAY,Direct Glottolog 5.3 match retained.
LANG_SON_2,Koyra Chiini,,FLG_SONGHAY,retained,LANG_SON_2,FLG_SONGHAY,Direct Glottolog 5.3 match retained.
LANG_SON_3,Koyraboro Senni,,FLG_SONGHAY,retained,LANG_SON_3,FLG_SONGHAY,Direct Glottolog 5.3 match retained.
LANG_SON_4,Dendi,,FLG_SONGHAY,retained,LANG_SON_4,FLG_SONGHAY,Direct Glottolog 5.3 match retained.
LANG_SON_5,Tasawaq,,FLG_SONGHAY,retained,LANG_SON_5,FLG_SONGHAY,Direct Glottolog 5.3 match retained.
LANG_KHO_1,Nama,naq,FLG_KHOISAN,removed,LANG_KHOE_1,FLG_KHOE,Duplicate non-genealogical Khoisan assignment; the retained Khoe row is more specific.
LANG_KHO_2,Khoekhoe,,FLG_KHOISAN,removed,LANG_KHOE_1,FLG_KHOE,Duplicate non-genealogical Khoisan assignment; Khoekhoe is an alias of retained Nama.
LANG_KHO_3,Ju|'hoan,,FLG_KHOISAN,removed,LANG_KXA_1,FLG_KXA,Duplicate non-genealogical Khoisan assignment; the retained Kxa row is more specific.
LANG_KHO_4,Taa («ÉX√≥√µ),,FLG_KHOISAN,removed,,,Khoisan is non-genealogical and Taa or !Xóõ matches East Taa and West !Xoon.
LANG_KHO_5,Naro,,FLG_KHOISAN,removed,LANG_KHOE_5,FLG_KHOE,Duplicate non-genealogical Khoisan assignment; the retained Khoe row is more specific.
LANG_KHOE_1,Nama,naq,FLG_KHOE,retained,LANG_KHOE_1,FLG_KHOE,Direct Glottolog 5.3 match retained.
LANG_KHOE_2,Khoekhoe,,FLG_KHOE,removed,LANG_KHOE_1,FLG_KHOE,Khoekhoe is an alias of Nama and would duplicate ISO naq.
LANG_KHOE_3,Shua,,FLG_KHOE,retained,LANG_KHOE_3,FLG_KHOE,Direct Glottolog 5.3 match retained.
LANG_KHOE_4,Khwe,,FLG_KHOE,retained,LANG_KHOE_4,FLG_KHOE,Direct Glottolog 5.3 match retained.
LANG_KHOE_5,Naro,,FLG_KHOE,retained,LANG_KHOE_5,FLG_KHOE,Direct Glottolog 5.3 match retained.
LANG_KXA_1,Ju|'hoan,,FLG_KXA,retained,LANG_KXA_1,FLG_KXA,Direct Glottolog 5.3 match retained.
LANG_KXA_2,!Kung,,FLG_KXA,removed,LANG_KXA_5,FLG_KXA,!Kung is a broad label; the more specific Ekoka !Kung row is retained for ISO knw.
LANG_KXA_3,«ÇHoan,,FLG_KXA,retained,LANG_KXA_3,FLG_KXA,Direct Glottolog 5.3 match retained.
LANG_KXA_4,!Xun,,FLG_KXA,removed,LANG_KXA_5,FLG_KXA,!Xun is a broad label; the more specific Ekoka !Kung row is retained for ISO knw.
LANG_KXA_5,Ekoka !Kung,,FLG_KXA,retained,LANG_KXA_5,FLG_KXA,Direct Glottolog 5.3 match retained.
LANG_TUU_1,Taa («ÉX√≥√µ),,FLG_TUU,removed,,,Taa or !Xóõ matches East Taa and West !Xoon; no single ISO code is unambiguous.
LANG_TUU_2,N«Ång,,FLG_TUU,retained,LANG_TUU_2,FLG_TUU,Direct Glottolog 5.3 match retained.
LANG_TUU_3,!X√≥√µ,,FLG_TUU,removed,,,!Xóõ matches East Taa and West !Xoon; no single ISO code is unambiguous.
LANG_TUU_4,|Xam,,FLG_TUU,retained,LANG_TUU_4,FLG_TUU,Direct Glottolog 5.3 match retained.
LANG_TUU_5,!Kwi,,FLG_TUU,removed,,,!Kwi maps to the !Ui family node and has no ISO 639-3 code.
LANG_AUS_1,Malagasy (Merina),plt,FLG_AUSTRONESIENNE,retained,LANG_AUS_1,FLG_AUSTRONESIENNE,Direct Glottolog 5.3 match retained.
LANG_AUS_2,Malagasy (Sakalava),skg,FLG_AUSTRONESIENNE,retained,LANG_AUS_2,FLG_AUSTRONESIENNE,Direct Glottolog 5.3 match retained.
LANG_AUS_3,Malagasy (Betsimisaraka),bmm,FLG_AUSTRONESIENNE,retained,LANG_AUS_3,FLG_AUSTRONESIENNE,Direct Glottolog 5.3 match retained.
LANG_AUS_4,Malagasy (Bara),bhr,FLG_AUSTRONESIENNE,retained,LANG_AUS_4,FLG_AUSTRONESIENNE,Direct Glottolog 5.3 match retained.
LANG_AUS_5,Comorien (Shingazidja),zdj,FLG_AUSTRONESIENNE,retained,LANG_AUS_5,FLG_BANTU,Existing row moved to the exact Glottolog-backed AFRIK family.
LANG_CRE_1,Krio (Sierra Leone),kri,FLG_CREOLE,removed,,,Glottolog 5.3 classifies Krio under Indo-European and no exact existing AFRIK family matches.
LANG_CRE_2,Nigerian Pidgin English,,FLG_CREOLE,removed,,,Glottolog 5.3 classifies Nigerian Pidgin under Indo-European and no exact existing AFRIK family matches.
LANG_CRE_3,Cr√©ole cap-verdien,,FLG_CREOLE,removed,,,Glottolog 5.3 classifies Kabuverdianu under Indo-European and no exact existing AFRIK family matches.
LANG_CRE_4,Cr√©ole seychellois,,FLG_CREOLE,removed,,,Glottolog 5.3 classifies Seselwa under Indo-European and no exact existing AFRIK family matches.
LANG_CRE_5,Cr√©ole mauricien,,FLG_CREOLE,removed,,,Glottolog 5.3 classifies Morisyen under Indo-European and no exact existing AFRIK family matches.
